slug,declared_episodes,mapped_episodes,match,first_duration,last_duration,sequence_flags,duration_outliers
the-dumb-billionaire-heiress-in-love,58,58,OK,68,16,57 out-of-order created_at pairs,8
do-not-deceive-me,55,55,OK,108,86,54 out-of-order created_at pairs,0
collateral-hearts,50,50,OK,75,152,49 out-of-order created_at pairs,0
the-billionaires-betrayal,55,55,OK,123,51,54 out-of-order created_at pairs,0
undercovered-heart,54,54,OK,133,104,53 out-of-order created_at pairs,0
under-her-control,52,52,OK,113,93,51 out-of-order created_at pairs,0
two-worlds-apart,56,56,OK,98,62,55 out-of-order created_at pairs,0
the-blackthornes,60,60,OK,71,123,59 out-of-order created_at pairs,0
marry-the-wrong-bride,55,55,OK,125,102,54 out-of-order created_at pairs,0
destined-to-be,60,60,OK,87,102,59 out-of-order created_at pairs,0
the-day-we-got-married,55,55,OK,80,108,54 out-of-order created_at pairs,0
the-winter-veil,52,52,OK,96,109,51 out-of-order created_at pairs,0
the-marriage-contract,58,58,OK,111,99,57 out-of-order created_at pairs,0
the-haunted-sisters,50,50,OK,92,84,49 out-of-order created_at pairs,0
the-missing-piece,54,54,OK,88,76,53 out-of-order created_at pairs,0
mysterious-murder,52,52,OK,77,61,51 out-of-order created_at pairs,0
married-to-a-stranger,62,62,OK,96,67,61 out-of-order created_at pairs,0
billionaire-daughters-love-triangle,62,62,OK,85,90,61 out-of-order created_at pairs,0
blood-contract,59,59,OK,95,101,58 out-of-order created_at pairs,0
cleopatra,61,61,OK,104,103,60 out-of-order created_at pairs,0
im-obsessed-with-my-boss,50,50,OK,122,70,49 out-of-order created_at pairs,0
duty-of-desire,58,58,OK,87,80,57 out-of-order created_at pairs,0
echo-of-vengeance,56,56,OK,77,114,55 out-of-order created_at pairs,0
faded-threads,48,48,OK,103,93,47 out-of-order created_at pairs,0
hidden-agenda,54,54,OK,105,54,53 out-of-order created_at pairs,0
hollywood-stars-fake-girlfriend,60,60,OK,111,58,56 out-of-order created_at pairs,0
i-think-my-wife-wants-to-kill-me,52,52,OK,112,103,51 out-of-order created_at pairs,0
in-love-with-my-godfathers-daughter,55,55,OK,78,99,54 out-of-order created_at pairs,0
love-lies-and-bloodline,56,56,OK,67,70,55 out-of-order created_at pairs,0
loves-perfect-crime,54,54,OK,77,107,53 out-of-order created_at pairs,0
mafia-lords-secret-love,60,60,OK,123,100,58 out-of-order created_at pairs,0
married-to-my-brothers-ex,52,52,OK,128,88,51 out-of-order created_at pairs,0
my-celebrity-boyfriend-killed-me,50,50,OK,80,79,49 out-of-order created_at pairs,0
my-handsome-bodyguard,58,58,OK,96,96,57 out-of-order created_at pairs,0
never-mess-with-a-badass-girl,55,55,OK,79,91,54 out-of-order created_at pairs,0
sisters-have-crush-on-the-same-man,52,52,OK,99,65,51 out-of-order created_at pairs,0
the-billionaires-vow,56,56,OK,84,68,55 out-of-order created_at pairs,0
lost-and-found,48,48,OK,85,111,47 out-of-order created_at pairs,0
help-im-falling-in-love-with-my-rude-ceo,65,65,OK,85,90,64 out-of-order created_at pairs,0
an-affair-with-my-boss,52,52,OK,53,97,51 out-of-order created_at pairs,0
a-love-once-betrayed,62,62,OK,85,101,61 out-of-order created_at pairs,0
in-her-shadow,50,50,OK,85,76,49 out-of-order created_at pairs,0
good-for-him,50,50,OK,71,60,49 out-of-order created_at pairs,0
one-night-stand,56,56,OK,69,127,55 out-of-order created_at pairs,0
if-only-you-were-mine,58,58,OK,179,93,57 out-of-order created_at pairs,0
one-night-one-forever,50,50,OK,110,86,49 out-of-order created_at pairs,0
runaway-bride,54,54,OK,106,82,53 out-of-order created_at pairs,0
the-billionaires-lost-love,58,58,OK,62,79,57 out-of-order created_at pairs,0
the-mistress-trap,48,48,OK,83,155,47 out-of-order created_at pairs,1
camouflage,56,56,OK,126,82,55 out-of-order created_at pairs,0
killer-romance,54,54,OK,129,98,53 out-of-order created_at pairs,0
honey-gold,58,58,OK,112,132,57 out-of-order created_at pairs,0
revenge-on-my-cheating-fiance,52,52,OK,94,76,51 out-of-order created_at pairs,0
the-escort,55,55,OK,104,142,54 out-of-order created_at pairs,0
school-hall,52,52,OK,122,104,51 out-of-order created_at pairs,0
conflicted-hearts,60,60,OK,55,79,59 out-of-order created_at pairs,0
my-sister-stole-my-man,46,46,OK,61,84,45 out-of-order created_at pairs,0
the-phoenix-conspiracy,56,56,OK,81,91,55 out-of-order created_at pairs,0
tangled-in-desire,54,54,OK,78,96,52 out-of-order created_at pairs,0
the-escaping-mistress,52,52,OK,72,126,51 out-of-order created_at pairs,0
the-chauffeur,50,50,OK,101,190,49 out-of-order created_at pairs,0
twisted-fates,55,55,OK,89,99,54 out-of-order created_at pairs,0
the-dumb-billionaire-heiress-pt-2,56,56,OK,87,138,54 out-of-order created_at pairs,0
tied-by-fate,54,54,OK,89,104,53 out-of-order created_at pairs,0
the-crown,52,52,OK,63,96,51 out-of-order created_at pairs,0
rosy-psycho,50,50,OK,98,136,49 out-of-order created_at pairs,0
the-unforgettable-love,58,58,OK,119,63,55 out-of-order created_at pairs,0
why-i-did-it,48,48,OK,191,82,45 out-of-order created_at pairs,0
the-ceo,55,55,OK,71,71,54 out-of-order created_at pairs,0
twist-of-time,56,56,OK,115,149,55 out-of-order created_at pairs,0
she-is-mine,52,52,OK,63,97,51 out-of-order created_at pairs,0
the-pendleton-secret,54,54,OK,89,91,53 out-of-order created_at pairs,0
the-perfect-husband,50,50,OK,122,120,48 out-of-order created_at pairs,0
trial-marriage-to-a-billionaire-s2,58,58,OK,92,95,57 out-of-order created_at pairs,0
the-inheritance-game,56,56,OK,97,99,55 out-of-order created_at pairs,0
im-obsessed-with-my-boss-2,0,50,MISMATCH,164,51,49 out-of-order created_at pairs,0